entity,country,year,daily_calorie_supply_per_person_that_comes_from_animal_protein,daily_calorie_supply_per_person_that_comes_from_vegetal_protein,daily_calorie_supply_per_person_from_fat,daily_calorie_supply_per_person_from_carbohydrates,total_calories,pct_cals_from_carbs,underweight,healthy_weight,overweight_or_obese
Afghanistan,AFG,1975,58.89143,262.36835,371.22043,2148.8455,2841.32571,75.62827072014915,29.85,63.05,7.1
Afghanistan,AFG,1976,61.96698,266.75073,389.14893,2192.891,2910.75764,75.33746437233435,29.7,63.05,7.199999999999999
Afghanistan,AFG,1977,59.5849,232.66876,355.04382,1909.6755,2556.97298,74.68500899059168,29.55,63.1,7.300000000000001
Afghanistan,AFG,1978,59.578648,245.08861,353.67682,2015.5537,2673.897778,75.37886139789447,29.35,63.2,7.449999999999999
Afghanistan,AFG,1979,59.82116,242.7555,367.59384,2005.4485,2675.6189999999997,74.95269318987495,29.2,63.25,7.55
Afghanistan,AFG,1980,63.71168,234.66502,380.46512,1936.7568,2615.59862,74.04640701332072,29,63.25,7.75
Afghanistan,AFG,1981,73.63376,256.32358,451.52975,2105.3374,2886.82449,72.92917900942429,28.85,63.3,7.9
Afghanistan,AFG,1982,81.60268,271.95883,509.90402,2242.3452,3105.81073,72.19838537939496,28.549999999999997,63.349999999999994,8.1
Afghanistan,AFG,1983,82.52,268.9158,512.05945,2241.4612,3104.95645,72.18977902250448,28.299999999999997,63.4,8.3
Afghanistan,AFG,1984,76.838104,244.81729,477.31042,2038.4891,2837.454914,71.84216707522282,28.049999999999997,63.4,8.55
Afghanistan,AFG,1985,65.5402,228.68881,452.7604,1888.4373,2635.42671,71.65584581936638,27.799999999999997,63.449999999999996,8.75
Afghanistan,AFG,1986,55.402187,224.23872,456.2273,1847.7275,2583.595707,71.51767186304588,27.5,63.45,9
Afghanistan,AFG,1987,60.230034,267.3699,399.41513,2195.5776,2922.592664,75.12431092586908,27.25,63.45,9.3
Afghanistan,AFG,1988,62.195297,236.56273,412.46808,1959.3958,2670.6219069999997,73.36852119965779,27,63.5,9.55
